               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078689,            0.023435,            0.011629,             0.43013,             0.52036,             0.41642,             0.18902,            0.060448,           0.0098678,           0.0016236,            0.070129,            0.003319,            0.003319
                   1,            0.056434,            0.017607,           0.0019601,             0.66904,             0.64802,              0.6844,             0.31296,            0.049579,           0.0091194,           0.0018743,            0.040107,           0.0066304,           0.0066304
                   2,            0.051467,            0.016023,            0.002021,             0.75149,             0.67295,             0.74713,             0.39353,            0.045714,           0.0090934,            0.001521,            0.010063,           0.0099198,           0.0099198
                   3,            0.047153,            0.015633,           0.0014477,             0.81376,              0.6693,              0.7729,             0.43878,            0.040848,           0.0096669,           0.0010656,            0.009901,            0.009901,            0.009901
                   4,            0.043137,             0.01519,            0.001064,             0.80307,              0.7465,             0.81257,             0.45159,            0.039129,           0.0092911,          0.00085845,            0.009901,            0.009901,            0.009901
                   5,            0.040032,            0.014412,           0.0008234,             0.81576,             0.71793,             0.80483,             0.48673,             0.03913,           0.0090254,          0.00077447,            0.009868,            0.009868,            0.009868
                   6,             0.03824,             0.01385,          0.00070678,             0.84232,             0.78602,             0.86095,             0.52198,            0.036772,           0.0081584,          0.00057438,            0.009835,            0.009835,            0.009835
                   7,            0.037207,            0.013339,          0.00065086,             0.81306,             0.73235,             0.80983,             0.48313,            0.037769,           0.0086753,          0.00052486,            0.009802,            0.009802,            0.009802
                   8,            0.035709,            0.013297,          0.00057069,             0.86382,             0.80243,             0.87546,             0.54576,            0.034409,           0.0078564,          0.00048306,            0.009769,            0.009769,            0.009769
                   9,            0.034592,            0.013057,          0.00053512,             0.87538,             0.78845,             0.86725,             0.55056,            0.034675,            0.008004,          0.00046955,            0.009736,            0.009736,            0.009736
                  10,            0.033819,            0.012535,          0.00048909,             0.86201,             0.81702,             0.87694,             0.54711,            0.033699,           0.0080068,          0.00043679,            0.009703,            0.009703,            0.009703
                  11,            0.033038,            0.012421,          0.00046815,             0.87213,             0.81679,             0.88382,             0.56473,            0.033716,           0.0079428,          0.00039771,             0.00967,             0.00967,             0.00967
                  12,            0.032266,            0.012196,          0.00044011,             0.88036,             0.81413,             0.87983,             0.55328,            0.034374,           0.0077968,          0.00037525,            0.009637,            0.009637,            0.009637
                  13,            0.031868,            0.011972,          0.00041553,             0.88358,             0.80304,             0.88316,             0.58114,            0.032519,           0.0078144,          0.00040394,            0.009604,            0.009604,            0.009604
                  14,            0.031353,            0.011605,           0.0004039,             0.88799,             0.81702,             0.88829,             0.57809,            0.032855,           0.0076526,          0.00042934,            0.009571,            0.009571,            0.009571
                  15,            0.031187,            0.011802,          0.00038555,               0.898,             0.81824,             0.89291,             0.57346,            0.032878,           0.0076711,          0.00034959,            0.009538,            0.009538,            0.009538
                  16,            0.030585,            0.011442,          0.00037107,             0.88828,              0.8362,             0.89997,             0.58929,            0.032211,           0.0075081,          0.00033545,            0.009505,            0.009505,            0.009505
                  17,            0.030324,            0.011321,          0.00036858,             0.87926,              0.8462,             0.89753,             0.59377,            0.031695,           0.0075499,          0.00033289,            0.009472,            0.009472,            0.009472
                  18,            0.030053,            0.011497,           0.0003587,             0.88159,              0.8509,             0.90866,             0.61326,            0.030616,             0.00739,          0.00030924,            0.009439,            0.009439,            0.009439
                  19,            0.029615,            0.011194,          0.00033739,              0.8604,             0.84498,             0.89905,             0.59608,            0.031568,           0.0075522,          0.00031278,            0.009406,            0.009406,            0.009406
                  20,            0.028993,            0.011019,          0.00033028,             0.88022,             0.83343,             0.89503,             0.60109,             0.03124,           0.0077366,          0.00027244,            0.009373,            0.009373,            0.009373
                  21,            0.028717,            0.010795,          0.00032849,             0.87327,             0.84438,             0.89694,             0.60626,             0.03108,           0.0076469,           0.0002759,             0.00934,             0.00934,             0.00934
                  22,            0.028573,            0.010914,          0.00032494,             0.89926,             0.84195,             0.90673,             0.61113,            0.030752,           0.0075308,          0.00028979,            0.009307,            0.009307,            0.009307
                  23,            0.028491,            0.010665,          0.00031595,             0.87327,              0.8462,             0.89707,             0.59481,            0.031795,           0.0076134,          0.00029216,            0.009274,            0.009274,            0.009274
                  24,            0.028167,            0.010569,          0.00030763,             0.85508,             0.86383,             0.90276,             0.60436,            0.030833,           0.0074153,          0.00024151,            0.009241,            0.009241,            0.009241
                  25,            0.027777,            0.010556,          0.00030077,             0.89712,             0.85872,             0.91265,             0.62139,            0.030281,           0.0073822,          0.00023572,            0.009208,            0.009208,            0.009208
                  26,            0.027646,            0.010409,          0.00029657,             0.88823,             0.84863,             0.90601,             0.60945,            0.030911,           0.0075904,          0.00025505,            0.009175,            0.009175,            0.009175
                  27,            0.027584,            0.010447,          0.00029122,             0.88223,             0.84985,             0.90577,             0.61271,            0.030645,           0.0078005,          0.00024182,            0.009142,            0.009142,            0.009142
                  28,            0.026963,              0.0105,          0.00028002,             0.88363,             0.85859,             0.91006,             0.62047,            0.030176,           0.0074386,           0.0002485,            0.009109,            0.009109,            0.009109
                  29,            0.027027,            0.010312,          0.00027547,             0.89643,             0.83647,             0.90092,             0.61575,            0.030588,            0.007632,          0.00023033,            0.009076,            0.009076,            0.009076
                  30,            0.026693,             0.01034,          0.00026782,              0.8839,             0.86546,             0.91056,             0.62122,            0.030276,           0.0076244,          0.00024023,            0.009043,            0.009043,            0.009043
                  31,            0.026932,            0.010256,          0.00027393,             0.90806,             0.86201,             0.91406,             0.63049,            0.029223,           0.0073679,          0.00019807,             0.00901,             0.00901,             0.00901
                  32,            0.026506,            0.010172,          0.00026239,             0.90022,             0.85228,             0.90605,             0.62575,            0.029758,           0.0077604,          0.00023822,            0.008977,            0.008977,            0.008977
                  33,            0.026299,            0.010167,          0.00025843,              0.9116,             0.84004,             0.92116,              0.6308,            0.029872,           0.0074127,          0.00020808,            0.008944,            0.008944,            0.008944
                  34,            0.026483,            0.010079,          0.00026928,             0.91849,              0.8304,             0.91083,             0.62068,            0.029753,           0.0074305,          0.00021972,            0.008911,            0.008911,            0.008911
                  35,            0.026155,            0.010144,          0.00026562,             0.90966,             0.85086,             0.91033,             0.61998,            0.029676,           0.0074973,          0.00018303,            0.008878,            0.008878,            0.008878
                  36,            0.025918,           0.0099508,          0.00025205,             0.91605,             0.83222,              0.9052,             0.62599,             0.02967,           0.0077569,          0.00021604,            0.008845,            0.008845,            0.008845
                  37,            0.025909,            0.010012,          0.00024235,             0.90135,             0.84984,             0.90886,             0.63562,            0.029149,           0.0075441,          0.00017447,            0.008812,            0.008812,            0.008812
                  38,            0.025682,           0.0097564,          0.00024802,             0.92169,             0.82918,             0.91241,             0.63287,            0.029346,           0.0075646,           0.0001892,            0.008779,            0.008779,            0.008779
                  39,            0.025436,           0.0097341,          0.00023967,             0.89368,             0.86748,             0.91557,             0.63495,            0.029212,           0.0076173,          0.00019113,            0.008746,            0.008746,            0.008746
                  40,            0.025403,           0.0096888,          0.00023855,             0.89277,             0.86991,              0.9124,             0.63643,            0.029106,           0.0075241,          0.00018463,            0.008713,            0.008713,            0.008713
                  41,            0.025172,           0.0097282,           0.0002364,             0.90683,              0.8535,             0.91721,             0.64382,            0.029225,           0.0075134,          0.00018321,             0.00868,             0.00868,             0.00868
                  42,            0.025122,           0.0095844,          0.00023569,             0.92047,             0.84195,             0.91574,             0.63781,            0.029349,           0.0074827,          0.00018768,            0.008647,            0.008647,            0.008647
                  43,            0.024953,           0.0096399,            0.000233,              0.8918,             0.86626,             0.91247,             0.63625,            0.029145,           0.0075918,          0.00018581,            0.008614,            0.008614,            0.008614
                  44,            0.025084,           0.0097582,          0.00023147,             0.89178,             0.87166,             0.91887,              0.6439,            0.028634,           0.0074988,          0.00019811,            0.008581,            0.008581,            0.008581
                  45,            0.024731,           0.0095972,          0.00023038,             0.90306,             0.86383,             0.91547,             0.64286,            0.028853,           0.0076153,          0.00023052,            0.008548,            0.008548,            0.008548
                  46,            0.024672,           0.0094307,           0.0002309,             0.90523,             0.85897,             0.91912,             0.64919,            0.028076,           0.0073841,          0.00016255,            0.008515,            0.008515,            0.008515
                  47,            0.024846,           0.0094905,          0.00023383,             0.91817,             0.85946,             0.92075,             0.64779,            0.028666,           0.0073932,          0.00019009,            0.008482,            0.008482,            0.008482
                  48,            0.024414,           0.0094337,          0.00021451,             0.90974,             0.85776,             0.91975,             0.64801,            0.028832,           0.0074537,          0.00016202,            0.008449,            0.008449,            0.008449
                  49,            0.024252,           0.0094227,          0.00022023,             0.91896,             0.84794,             0.92011,             0.64435,            0.028841,           0.0074171,          0.00018628,            0.008416,            0.008416,            0.008416
                  50,            0.024576,           0.0096288,          0.00022611,             0.91229,              0.8536,             0.92254,             0.64864,            0.028592,           0.0075046,          0.00016164,            0.008383,            0.008383,            0.008383
                  51,            0.024265,           0.0094496,          0.00022041,             0.92347,             0.86201,             0.92392,             0.64682,             0.02844,           0.0074315,          0.00015842,             0.00835,             0.00835,             0.00835
                  52,            0.024049,           0.0092694,          0.00022074,              0.9005,             0.86927,             0.91816,             0.65207,            0.028181,           0.0074033,          0.00016135,            0.008317,            0.008317,            0.008317
                  53,            0.023925,           0.0093336,          0.00021617,             0.91549,             0.86273,             0.91977,             0.65325,            0.028277,           0.0073751,          0.00013969,            0.008284,            0.008284,            0.008284
                  54,            0.024006,           0.0092458,          0.00021626,             0.90947,             0.86718,             0.91568,             0.65036,            0.028201,           0.0074543,          0.00017102,            0.008251,            0.008251,            0.008251
                  55,            0.023868,           0.0093278,          0.00020721,             0.92839,              0.8535,             0.91854,             0.64949,            0.028116,           0.0073217,          0.00014584,            0.008218,            0.008218,            0.008218
                  56,            0.023838,           0.0092389,          0.00020989,             0.89985,              0.8739,             0.91789,             0.64837,            0.028266,            0.007473,          0.00015774,            0.008185,            0.008185,            0.008185
                  57,            0.023853,           0.0091513,          0.00020388,             0.90737,              0.8694,             0.92134,             0.65614,            0.027967,           0.0074479,          0.00015659,            0.008152,            0.008152,            0.008152
                  58,            0.023734,           0.0091004,          0.00020838,             0.90457,             0.87842,             0.91904,             0.65577,            0.027974,            0.007411,           0.0001779,            0.008119,            0.008119,            0.008119
                  59,            0.023518,           0.0091478,          0.00020744,             0.92646,             0.86546,             0.92005,             0.65606,            0.028141,           0.0073751,           0.0001636,            0.008086,            0.008086,            0.008086
                  60,            0.023531,           0.0091228,          0.00021159,              0.9217,             0.86261,             0.92063,             0.65605,            0.027936,           0.0073803,          0.00017085,            0.008053,            0.008053,            0.008053
                  61,             0.02358,            0.009077,          0.00020784,             0.90349,             0.87903,              0.9188,             0.65488,            0.028093,           0.0074985,          0.00016341,             0.00802,             0.00802,             0.00802
