               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070856,            0.021466,            0.010514,             0.61074,             0.56911,             0.59157,             0.25438,            0.051105,           0.0090292,           0.0014363,             0.07009,           0.0033233,           0.0033233
                   1,            0.050925,            0.016758,           0.0015118,             0.74162,             0.68572,             0.72689,             0.33817,            0.046188,           0.0081094,           0.0014196,            0.040057,           0.0066237,           0.0066237
                   2,            0.047753,             0.01612,           0.0014606,             0.58115,             0.54544,             0.56097,             0.25823,            0.049474,           0.0095065,           0.0011577,           0.0099915,           0.0098911,           0.0098911
                   3,            0.045822,            0.016409,          0.00094877,             0.70941,             0.59321,             0.65275,             0.32559,            0.048333,           0.0092865,          0.00073928,           0.0098515,           0.0098515,           0.0098515
                   4,            0.042707,            0.015959,          0.00065917,             0.75482,             0.60164,             0.68011,               0.346,            0.046679,           0.0088695,          0.00056184,           0.0098515,           0.0098515,           0.0098515
                   5,            0.040535,            0.015452,          0.00054671,             0.73943,             0.61624,             0.69282,             0.37088,            0.044962,           0.0088205,          0.00053993,            0.009802,            0.009802,            0.009802
                   6,            0.038505,            0.015251,          0.00046761,             0.78632,             0.60456,             0.70262,             0.38279,            0.041948,           0.0086868,          0.00045593,           0.0097525,           0.0097525,           0.0097525
                   7,            0.037374,            0.014662,          0.00042831,             0.76095,              0.6582,             0.72173,             0.39336,            0.044432,           0.0084537,          0.00030829,            0.009703,            0.009703,            0.009703
                   8,            0.036334,            0.014515,          0.00037448,             0.75897,             0.69276,             0.75077,              0.4307,            0.041678,            0.008105,          0.00029529,           0.0096535,           0.0096535,           0.0096535
                   9,            0.035361,            0.014126,          0.00036104,             0.72583,             0.63785,             0.70554,             0.39987,            0.042744,           0.0086768,          0.00029792,            0.009604,            0.009604,            0.009604
                  10,            0.034716,            0.013801,          0.00033532,             0.78529,             0.68792,             0.75758,             0.43393,            0.042763,            0.008121,          0.00023203,           0.0095545,           0.0095545,           0.0095545
                  11,            0.034448,            0.013795,          0.00031287,              0.7499,             0.70736,             0.74725,             0.43008,              0.0412,           0.0082753,          0.00025988,            0.009505,            0.009505,            0.009505
                  12,            0.033436,            0.013624,          0.00030451,              0.7875,             0.68619,             0.75926,               0.437,             0.04132,           0.0080544,           0.0003087,           0.0094555,           0.0094555,           0.0094555
                  13,            0.032626,            0.013623,          0.00028757,             0.83652,             0.70678,             0.77536,             0.44483,            0.041843,            0.007854,          0.00022328,            0.009406,            0.009406,            0.009406
                  14,            0.032071,            0.013343,          0.00027816,             0.75952,              0.7097,             0.75784,             0.43996,             0.04044,           0.0082927,          0.00021071,           0.0093565,           0.0093565,           0.0093565
                  15,            0.032047,            0.013247,          0.00027505,             0.80908,             0.70051,             0.77404,             0.46023,             0.03984,           0.0082135,          0.00027692,            0.009307,            0.009307,            0.009307
                  16,            0.031792,             0.01314,          0.00025847,             0.81991,              0.7313,             0.78934,             0.46313,             0.04017,            0.007935,          0.00017577,           0.0092575,           0.0092575,           0.0092575
                  17,            0.030951,             0.01288,          0.00025769,             0.82774,             0.70444,             0.77617,               0.468,             0.03948,             0.00789,          0.00024093,            0.009208,            0.009208,            0.009208
                  18,            0.030547,            0.012888,           0.0002503,             0.80855,             0.74065,               0.793,             0.47222,            0.038788,            0.007907,          0.00019833,           0.0091585,           0.0091585,           0.0091585
                  19,            0.030512,            0.012673,          0.00024504,             0.82409,             0.73335,             0.79403,              0.4789,            0.039377,            0.007966,           0.0001588,            0.009109,            0.009109,            0.009109
                  20,            0.030097,            0.012597,          0.00024382,             0.83054,             0.72714,             0.79075,             0.47389,            0.040775,           0.0081823,          0.00018486,           0.0090595,           0.0090595,           0.0090595
                  21,             0.02989,             0.01264,          0.00023277,              0.8093,             0.74613,             0.79569,             0.47787,            0.039764,           0.0078691,           0.0001439,             0.00901,             0.00901,             0.00901
                  22,            0.029731,            0.012532,          0.00022849,             0.86249,             0.73773,             0.81213,             0.49673,            0.039409,           0.0079912,          0.00015556,           0.0089605,           0.0089605,           0.0089605
                  23,            0.029389,            0.012331,          0.00022679,             0.81141,              0.7439,             0.79842,             0.48737,            0.039499,           0.0077463,          0.00012673,            0.008911,            0.008911,            0.008911
                  24,            0.028899,            0.012259,          0.00022212,             0.82431,             0.73131,             0.79647,             0.48496,            0.038958,           0.0079269,          0.00014936,           0.0088615,           0.0088615,           0.0088615
                  25,            0.029131,            0.012298,          0.00021326,             0.82427,              0.7465,             0.80268,             0.48186,            0.038957,             0.00773,          0.00011673,            0.008812,            0.008812,            0.008812
                  26,            0.028755,            0.012084,          0.00021767,             0.83338,             0.73189,             0.80108,             0.48814,            0.038983,           0.0079629,          0.00014394,           0.0087625,           0.0087625,           0.0087625
                  27,            0.028429,            0.011984,          0.00020403,             0.84427,             0.74124,             0.80893,             0.48916,            0.039693,           0.0078329,          0.00016525,            0.008713,            0.008713,            0.008713
                  28,            0.028163,            0.011876,          0.00021207,             0.84644,             0.76949,             0.82364,             0.50414,            0.037821,           0.0076906,          0.00015039,           0.0086635,           0.0086635,           0.0086635
                  29,            0.028268,            0.011885,          0.00020736,             0.84257,             0.75701,             0.81744,             0.50589,             0.03791,           0.0077661,          0.00016992,            0.008614,            0.008614,            0.008614
                  30,            0.027754,            0.011789,          0.00020596,             0.83997,             0.76646,             0.81621,             0.50585,            0.038652,            0.007784,          0.00014837,           0.0085645,           0.0085645,           0.0085645
                  31,            0.027709,            0.011656,          0.00019942,             0.83151,              0.7535,             0.81003,              0.5026,            0.038831,           0.0077939,          0.00015084,            0.008515,            0.008515,            0.008515
                  32,            0.027435,            0.011735,          0.00020054,             0.83751,             0.75175,             0.81775,             0.51219,            0.037883,           0.0078399,          0.00017187,           0.0084655,           0.0084655,           0.0084655
                  33,            0.027619,            0.011622,          0.00019427,             0.82761,             0.76285,             0.81549,             0.51023,            0.038498,           0.0077285,           0.0001311,            0.008416,            0.008416,            0.008416
                  34,            0.027143,            0.011577,          0.00019634,             0.83569,             0.75162,             0.81471,             0.51326,            0.037919,            0.007637,          0.00013046,           0.0083665,           0.0083665,           0.0083665
                  35,            0.027078,            0.011599,          0.00019486,             0.83352,             0.75452,             0.81466,             0.50837,            0.038018,           0.0077483,          0.00013202,            0.008317,            0.008317,            0.008317
                  36,             0.02674,            0.011406,          0.00019364,             0.85601,             0.75526,             0.82863,             0.51484,            0.038338,           0.0077239,          0.00012168,           0.0082675,           0.0082675,           0.0082675
                  37,             0.02665,            0.011488,          0.00018856,             0.84833,             0.75467,             0.82005,             0.51865,            0.038278,           0.0076853,          0.00013544,            0.008218,            0.008218,            0.008218
                  38,            0.026578,            0.011378,          0.00019107,             0.85179,             0.75117,             0.81555,             0.51859,            0.038354,           0.0077289,          0.00014473,           0.0081685,           0.0081685,           0.0081685
                  39,            0.026485,            0.011318,          0.00018645,             0.83238,             0.77745,             0.82423,             0.52152,            0.037056,           0.0077255,          0.00012254,            0.008119,            0.008119,            0.008119
                  40,            0.026385,            0.011264,          0.00017894,             0.84155,             0.77453,             0.82769,             0.52346,            0.037519,           0.0077026,          0.00013584,           0.0080695,           0.0080695,           0.0080695
                  41,            0.026069,            0.011319,          0.00018771,             0.85236,             0.75584,             0.82562,             0.52136,            0.037999,           0.0077288,          0.00015032,             0.00802,             0.00802,             0.00802
                  42,            0.025765,            0.011191,           0.0001795,              0.8786,             0.76343,             0.82822,             0.52488,            0.037282,           0.0076474,           0.0001423,           0.0079705,           0.0079705,           0.0079705
                  43,            0.025777,            0.011156,          0.00017646,             0.85238,               0.769,             0.83064,             0.52936,            0.037088,           0.0076707,           0.0001715,            0.007921,            0.007921,            0.007921
                  44,            0.025791,            0.010988,          0.00018315,             0.86228,             0.76752,             0.82557,             0.52493,            0.037653,           0.0076819,          0.00013966,           0.0078715,           0.0078715,           0.0078715
                  45,             0.02581,            0.011097,          0.00017894,             0.87527,             0.76636,             0.83293,             0.53282,            0.038228,           0.0075634,          0.00012991,            0.007822,            0.007822,            0.007822
                  46,            0.025492,            0.011018,          0.00017432,             0.86031,             0.76869,              0.8297,             0.53264,             0.03845,           0.0076644,          0.00013468,           0.0077725,           0.0077725,           0.0077725
                  47,            0.025582,            0.011127,          0.00017163,              0.8656,             0.76928,              0.8336,             0.53567,             0.03812,           0.0076986,           0.0001427,            0.007723,            0.007723,            0.007723
                  48,            0.025181,             0.01081,          0.00017536,             0.86427,              0.7611,             0.82511,             0.53459,            0.037929,            0.007672,          0.00013688,           0.0076735,           0.0076735,           0.0076735
                  49,             0.02534,            0.010876,          0.00017186,             0.85028,             0.78446,             0.83501,             0.53303,            0.038036,           0.0076426,          0.00011916,            0.007624,            0.007624,            0.007624
                  50,            0.025297,            0.010845,          0.00016983,             0.87496,             0.76986,             0.83527,             0.53707,            0.037359,           0.0077351,          0.00012207,           0.0075745,           0.0075745,           0.0075745
                  51,            0.025054,            0.010748,           0.0001714,             0.86208,             0.77336,              0.8343,             0.54015,            0.037381,           0.0077983,          0.00013618,            0.007525,            0.007525,            0.007525
                  52,            0.024757,            0.010664,           0.0001687,             0.87262,             0.77921,             0.83689,             0.54143,            0.037805,           0.0077237,          0.00015843,           0.0074755,           0.0074755,           0.0074755
                  53,            0.024607,             0.01081,          0.00016759,             0.85958,             0.78307,             0.83394,             0.54376,            0.037823,           0.0077014,          0.00016709,            0.007426,            0.007426,            0.007426
                  54,            0.024998,            0.010722,          0.00016478,             0.87059,             0.77687,             0.83443,             0.54359,            0.037676,            0.007702,          0.00014438,           0.0073765,           0.0073765,           0.0073765
                  55,            0.024627,            0.010589,          0.00016537,              0.8756,             0.76811,             0.83623,             0.54447,            0.037558,           0.0077547,          0.00016017,            0.007327,            0.007327,            0.007327
                  56,             0.02421,            0.010505,          0.00016262,             0.86237,             0.77862,             0.83448,             0.54402,            0.037465,           0.0078261,          0.00014512,           0.0072775,           0.0072775,           0.0072775
                  57,            0.024097,            0.010432,          0.00016275,             0.87719,             0.76348,             0.83452,             0.54151,            0.037477,           0.0078009,          0.00014975,            0.007228,            0.007228,            0.007228
                  58,             0.02372,            0.010609,          0.00015731,             0.89609,              0.7535,             0.83716,             0.54573,            0.037522,           0.0077893,          0.00014756,           0.0071785,           0.0071785,           0.0071785
                  59,             0.02426,            0.010549,          0.00015727,             0.86922,             0.77254,             0.83841,             0.54705,            0.037727,           0.0077603,          0.00013478,            0.007129,            0.007129,            0.007129
                  60,            0.023873,            0.010413,          0.00015712,             0.87973,             0.76168,             0.83447,             0.55012,            0.037629,           0.0078306,          0.00015348,           0.0070795,           0.0070795,           0.0070795
                  61,            0.023817,            0.010527,          0.00015583,             0.86841,              0.7757,             0.83123,             0.54817,            0.037729,           0.0078233,          0.00015127,             0.00703,             0.00703,             0.00703
                  62,            0.023819,            0.010382,          0.00016001,             0.86328,             0.76714,             0.82906,             0.54711,            0.037832,           0.0078934,          0.00016616,           0.0069805,           0.0069805,           0.0069805
                  63,            0.023824,            0.010217,          0.00015876,             0.88073,             0.75912,              0.8305,             0.54776,             0.03783,           0.0078723,          0.00016726,            0.006931,            0.006931,            0.006931
                  64,            0.023579,            0.010385,          0.00015638,             0.84983,             0.77017,             0.82823,             0.54732,            0.037498,           0.0078623,          0.00017835,           0.0068815,           0.0068815,           0.0068815
                  65,            0.023608,            0.010158,          0.00015456,             0.84694,             0.79147,             0.83345,             0.54958,            0.037734,           0.0078375,          0.00018619,            0.006832,            0.006832,            0.006832
                  66,            0.023437,            0.010176,          0.00014972,             0.87181,             0.78258,             0.83728,             0.54853,            0.037926,            0.007797,          0.00017349,           0.0067825,           0.0067825,           0.0067825
                  67,            0.023666,            0.010294,          0.00015112,             0.86024,             0.79381,             0.83774,             0.54835,            0.037507,           0.0077604,          0.00017067,            0.006733,            0.006733,            0.006733
