               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077951,            0.016305,           0.0092705,             0.36751,             0.51656,             0.34083,             0.10709,            0.059361,            0.006728,           0.0011919,             0.07009,           0.0033233,           0.0033233
                   1,            0.055161,            0.012066,           0.0017259,             0.67094,             0.65563,             0.69011,              0.2826,            0.045871,           0.0061834,           0.0016563,            0.040068,           0.0066347,           0.0066347
                   2,            0.051327,            0.011277,           0.0016623,              0.6826,             0.56291,             0.61562,              0.2804,            0.045069,           0.0066201,           0.0013428,            0.010024,           0.0099241,           0.0099241
                   3,            0.049334,            0.011493,           0.0010871,             0.74005,             0.62053,             0.68005,             0.32443,            0.042311,           0.0064397,          0.00074879,            0.009901,            0.009901,            0.009901
                   4,            0.045026,            0.010892,          0.00075387,             0.78356,              0.6894,             0.77128,             0.37713,            0.038906,           0.0058723,          0.00057093,            0.009901,            0.009901,            0.009901
                   5,            0.042048,            0.010447,          0.00061122,              0.8063,             0.73179,             0.80772,             0.41194,            0.036311,              0.0057,          0.00049441,            0.009868,            0.009868,            0.009868
                   6,             0.04016,            0.010032,          0.00051979,             0.82618,             0.76291,             0.84276,             0.45469,            0.035363,           0.0053536,          0.00042433,            0.009835,            0.009835,            0.009835
                   7,            0.038032,           0.0097631,          0.00048411,             0.81831,             0.77849,             0.84527,              0.4516,            0.034881,           0.0054148,          0.00037696,            0.009802,            0.009802,            0.009802
                   8,            0.037237,           0.0095044,          0.00043217,               0.828,             0.79384,             0.84393,             0.47009,            0.032953,           0.0051673,          0.00036807,            0.009769,            0.009769,            0.009769
                   9,            0.036025,           0.0092283,          0.00041214,             0.85237,             0.79914,              0.8718,             0.48382,            0.033061,           0.0051445,          0.00033545,            0.009736,            0.009736,            0.009736
