               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061187,            0.038253,           0.0046469,             0.79042,             0.66155,             0.74989,             0.43389,            0.044949,            0.023765,           0.0011702,            0.070037,           0.0033292,           0.0033292
                   1,            0.048741,            0.035727,           0.0011748,             0.79981,              0.6586,             0.75216,             0.46355,            0.041279,            0.025214,          0.00086984,            0.040004,           0.0066295,           0.0066295
                   2,            0.046422,            0.037874,          0.00069474,             0.75981,             0.60261,             0.68531,             0.39405,            0.044444,            0.028102,          0.00041487,           0.0099384,           0.0098969,           0.0098969
                   3,            0.045405,            0.038663,          0.00035668,             0.77484,             0.62704,             0.71886,             0.43241,            0.042404,            0.027059,           0.0002078,           0.0098515,           0.0098515,           0.0098515
                   4,            0.044327,            0.038529,          0.00024941,             0.78565,             0.63423,              0.7282,             0.44362,            0.041259,            0.026598,          0.00012808,           0.0098515,           0.0098515,           0.0098515
                   5,            0.043608,            0.037971,          0.00020624,             0.78643,             0.65086,             0.74058,             0.46133,            0.040484,            0.026208,          9.1577e-05,            0.009802,            0.009802,            0.009802
                   6,              0.0431,            0.038141,          0.00018259,              0.7862,             0.65599,             0.74468,             0.46514,            0.039781,            0.026006,          7.3431e-05,           0.0097525,           0.0097525,           0.0097525
                   7,            0.042758,            0.037706,          0.00016861,             0.79298,              0.6622,             0.75364,             0.47274,            0.039339,            0.025796,          6.2431e-05,            0.009703,            0.009703,            0.009703
                   8,             0.04266,            0.037755,          0.00015582,             0.79794,             0.66105,             0.75665,             0.48012,            0.039091,            0.025642,          5.2808e-05,           0.0096535,           0.0096535,           0.0096535
                   9,            0.042399,            0.037594,          0.00015011,             0.79601,             0.66894,             0.76095,             0.48596,            0.038767,            0.025359,          4.8876e-05,            0.009604,            0.009604,            0.009604
