               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07964,            0.032049,            0.010866,             0.41729,             0.43648,             0.41106,             0.19139,            0.064572,            0.012853,           0.0018429,            0.070112,           0.0033209,           0.0033209
                   1,             0.05708,            0.025176,           0.0022888,             0.57613,             0.64549,             0.63097,             0.32524,            0.050427,            0.011772,           0.0020443,             0.04009,           0.0066323,           0.0066323
                   2,            0.050274,            0.023302,            0.002336,             0.75047,             0.73648,             0.78296,             0.41866,            0.042215,             0.01146,            0.001804,            0.010046,           0.0099217,           0.0099217
                   3,            0.044103,            0.022282,           0.0018001,             0.79006,             0.73484,             0.80479,             0.48753,            0.038936,            0.011063,           0.0014176,            0.009901,            0.009901,            0.009901
                   4,            0.039262,            0.021746,           0.0013809,             0.79021,             0.77131,             0.82469,             0.50064,            0.038385,            0.010853,           0.0010133,            0.009901,            0.009901,            0.009901
                   5,            0.036974,            0.020559,           0.0011356,             0.78002,             0.74404,             0.79855,              0.4849,            0.038439,            0.011205,           0.0010072,            0.009868,            0.009868,            0.009868
                   6,            0.035046,             0.02002,          0.00095844,             0.80666,             0.80123,             0.85823,             0.52823,            0.035553,            0.010269,          0.00082346,            0.009835,            0.009835,            0.009835
                   7,            0.033158,            0.019767,            0.000848,             0.81338,             0.79847,             0.85711,             0.55131,            0.033868,            0.010567,          0.00068965,            0.009802,            0.009802,            0.009802
                   8,            0.031996,            0.019223,          0.00074953,             0.84155,             0.83443,             0.88334,             0.56736,            0.033051,            0.009773,          0.00081047,            0.009769,            0.009769,            0.009769
                   9,              0.0309,            0.019151,          0.00068572,             0.83217,             0.80675,             0.86836,             0.57312,            0.032748,           0.0097982,          0.00058274,            0.009736,            0.009736,            0.009736
                  10,            0.030429,            0.018867,          0.00065095,              0.8256,              0.8265,             0.87686,             0.57591,            0.032382,           0.0098969,          0.00062561,            0.009703,            0.009703,            0.009703
                  11,            0.029652,            0.018514,          0.00058021,             0.84019,             0.81879,              0.8807,             0.57855,            0.032313,            0.009814,          0.00049352,             0.00967,             0.00967,             0.00967
                  12,            0.029271,            0.018185,          0.00055887,             0.84229,             0.83831,              0.8832,              0.5884,            0.032155,           0.0097093,          0.00049791,            0.009637,            0.009637,            0.009637
                  13,            0.029016,             0.01818,          0.00054562,              0.8615,             0.82664,             0.89004,             0.60105,            0.031378,           0.0097237,          0.00049117,            0.009604,            0.009604,            0.009604
                  14,            0.028269,            0.017829,          0.00050964,              0.8514,             0.83595,             0.88945,             0.60358,            0.030956,           0.0096851,          0.00041996,            0.009571,            0.009571,            0.009571
                  15,            0.027909,            0.018033,          0.00048737,             0.84067,             0.82869,             0.88785,              0.5928,            0.031103,           0.0097898,          0.00043464,            0.009538,            0.009538,            0.009538
